Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order_Date,new_ship,Year,Month,Day
1,CA-2016-152156,second class,CG-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,FUR-BO-10001798,furniture,bookcases,bush somerset collection bookcase,261.96,2,0,41.9136,08-11-2016,11-11-2016,2016,11,8
2,CA-2016-152156,second class,CG-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,FUR-CH-10000454,furniture,chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94,3,0,219.582,08-11-2016,11-11-2016,2016,11,8
3,CA-2016-138688,second class,DV-13045,darrin van huff,corporate,united states,los angeles,california,90036,west,OFF-LA-10000240,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62,2,0,6.8714,12-06-2016,16-06-2016,2016,6,12
4,US-2015-108966,standard class,SO-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,FUR-TA-10000577,furniture,tables,bretford cr4500 series slim rectangular table,957.5775,5,0.45,-383.031,11-10-2015,18-10-2015,2015,10,11
5,US-2015-108966,standard class,SO-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,OFF-ST-10000760,office supplies,storage,eldon fold 'n roll cart system,22.368,2,0.2,2.5164,11-10-2015,18-10-2015,2015,10,11
6,CA-2014-115812,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,FUR-FU-10001487,furniture,furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86,7,0,14.1694,09-06-2014,14-06-2014,2014,6,9
7,CA-2014-115812,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,OFF-AR-10002833,office supplies,art,newell 322,7.28,4,0,1.9656,09-06-2014,14-06-2014,2014,6,9
8,CA-2014-115812,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,TEC-PH-10002275,technology,phones,mitel 5320 ip phone voip phone,907.152,6,0.2,90.7152,09-06-2014,14-06-2014,2014,6,9
9,CA-2014-115812,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,OFF-BI-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504,3,0.2,5.7825,09-06-2014,14-06-2014,2014,6,9
10,CA-2014-115812,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,OFF-AP-10002892,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9,5,0,34.47,09-06-2014,14-06-2014,2014,6,9
11,CA-2014-115812,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,FUR-TA-10001539,furniture,tables,chromcraft rectangular conference tables,1706.184,9,0.2,85.3092,09-06-2014,14-06-2014,2014,6,9
12,CA-2014-115812,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,TEC-PH-10002033,technology,phones,konftel 250 conference phone - charcoal black,911.424,4,0.2,68.3568,09-06-2014,14-06-2014,2014,6,9
13,CA-2017-114412,standard class,AA-10480,andrew allen,consumer,united states,concord,north carolina,28027,south,OFF-PA-10002365,office supplies,paper,xerox 1967,15.552,3,0.2,5.4432,15-04-2017,20-04-2017,2017,4,15
14,CA-2016-161389,standard class,IM-15070,irene maddox,consumer,united states,seattle,washington,98103,west,OFF-BI-10003656,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976,3,0.2,132.5922,05-12-2016,10-12-2016,2016,12,5
15,US-2015-118983,standard class,HP-14815,harold pawlan,home office,united states,fort worth,texas,76106,central,OFF-AP-10002311,office supplies,appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81,5,0.8,-123.858,22-11-2015,26-11-2015,2015,11,22
16,US-2015-118983,standard class,HP-14815,harold pawlan,home office,united states,fort worth,texas,76106,central,OFF-BI-10000756,office supplies,binders,storex duratech recycled plastic frosted binders,2.544,3,0.8,-3.816,22-11-2015,26-11-2015,2015,11,22
17,CA-2014-105893,standard class,PK-19075,pete kriz,consumer,united states,madison,wisconsin,53711,central,OFF-ST-10004186,office supplies,storage,"stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d",665.88,6,0,13.3176,11-11-2014,18-11-2014,2014,11,11
18,CA-2014-167164,second class,AG-10270,alejandro grove,consumer,united states,west jordan,utah,84084,west,OFF-ST-10000107,office supplies,storage,fellowes super stor/drawer,55.5,2,0,9.99,13-05-2014,15-05-2014,2014,5,13
19,CA-2014-143336,second class,ZD-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,OFF-AR-10003056,office supplies,art,newell 341,8.56,2,0,2.4824,27-08-2014,01-09-2014,2014,8,27
